artist,2021-01-02 00:00:00,2021-01-09 00:00:00,2021-01-16 00:00:00,2021-01-23 00:00:00,2021-01-30 00:00:00,2021-02-06 00:00:00,2021-02-13 00:00:00,2021-02-20 00:00:00,2021-02-27 00:00:00,2021-03-06 00:00:00,2021-03-13 00:00:00,2021-03-20 00:00:00,2021-03-27 00:00:00,2021-04-03 00:00:00,2021-04-10 00:00:00,2021-04-17 00:00:00,2021-04-24 00:00:00,2021-05-01 00:00:00,2021-05-08 00:00:00,2021-05-15 00:00:00,2021-05-22 00:00:00,2021-05-29 00:00:00,2021-06-05 00:00:00,2021-06-12 00:00:00,2021-06-19 00:00:00,2021-06-26 00:00:00,2021-07-03 00:00:00,2021-07-10 00:00:00,2021-07-17 00:00:00,2021-07-24 00:00:00,2021-07-31 00:00:00,2021-08-07 00:00:00,2021-08-14 00:00:00,2021-08-21 00:00:00,2021-08-28 00:00:00,2021-09-04 00:00:00,2021-09-11 00:00:00,2021-09-18 00:00:00,2021-09-25 00:00:00,2021-10-02 00:00:00,2021-10-09 00:00:00,2021-10-16 00:00:00,2021-10-23 00:00:00,2021-10-30 00:00:00,2021-11-06 00:00:00
Justin Bieber Featuring Daniel Caesar & Giveon,100,100,100,100,100,100,100,100,100,100,100,100,100,1,2,3,4,3,3,3,3,6,6,6,4,5,5,7,8,11,11,12,13,12,14,18,100,100,100,100,100,100,100,100,100
Kanye West,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,6,100,100,100,100,100,100,100,100
Kelly Clarkson,12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Lil Baby,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Lil Baby, Lil Durk & Travis Scott",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Lil Nas X,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,2,2,4,7,9,10,18,13,10,11,9,8,8,5,8,8,8,8,9,10,9,15,100,13,9,13,17,100,100,100
Lil Nas X & Jack Harlow,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,7,8,7,5,7,100,6,2,3,2,1,3,3
Lil Tjay Featuring 6LACK,100,100,100,100,100,100,100,100,3,8,8,14,13,14,18,11,13,16,14,13,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Lizzo Featuring Cardi B,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4,17,100,100,100,100,100,100,100,100,100
Luke Combs,100,100,19,100,15,15,17,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15,13,12,12,19,18,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
